Zipcode,Age 2,Age 3,Age 4,Total
94501,1,47,56,104
94502,0,1,0,1
94536,6,60,97,163
94537,0,0,1,1
94538,7,143,182,332
94539,0,14,19,33
94540,0,1,1,2
94541,4,136,210,350
94542,1,8,18,27
94543,0,1,0,1
94544,3,138,249,390
94545,1,45,74,120
94546,1,13,38,52
94550,1,42,47,90
94551,6,67,91,164
94555,3,19,26,48
94560,3,70,79,152
94566,0,11,22,33
94568,1,16,25,42
94577,1,32,47,80
94578,3,56,65,124
94579,6,13,24,43
94580,1,54,51,106
94587,9,156,178,343
94588,2,7,5,14
94601,6,110,323,439
94602,0,13,68,81
94603,2,65,239,306
94604,0,1,1,2
94605,5,51,161,217
94606,6,47,161,214
94607,1,78,94,173
94608,2,57,80,139
94609,1,20,33,54
94610,2,23,21,46
94611,2,10,20,32
94612,3,27,43,73
94614,0,0,1,1
94617,0,1,0,1
94618,0,2,2,4
94619,1,25,66,92
94621,3,68,232,303
94622,0,1,1,2
94702,5,42,48,95
94703,3,39,65,107
94704,1,11,17,29
94705,0,9,2,11
94706,2,30,45,77
94707,0,3,1,4
94708,0,1,0,1
94709,0,6,5,11
94710,2,50,42,94
94720,0,8,4,12
95377,0,1,0,1
,107,1949,3380,5436
,,,,
,,,,
,,,,
